x,y,doc_top_reduced_20,doc_top_reduced_19,doc_top_reduced_18,doc_top_reduced_17,doc_top_reduced_16,doc_top_reduced_15,doc_top_reduced_14,doc_top_reduced_13,doc_top_reduced_12,doc_top_reduced_11,doc_top_reduced_10,doc_top_reduced_9,doc_top_reduced_8,doc_top_reduced_7,doc_top_reduced_6,doc_top_reduced_5,doc_top_reduced_4,doc_top_reduced_3,doc_top_reduced_2
13.679408,-1.5384879,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
13.976643,-1.6143705,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
11.602367,-0.0419349,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,2,2,0
13.646773,-2.1903322,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
9.647473,0.7221429,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
13.797349,-1.8166512,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.332089,-0.87699634,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.839873,-1.0180687,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
13.727067,-1.1889316,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
10.234312,1.3246975,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
13.696662,-1.8218073,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,2,0
14.967576,-1.188306,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
13.473521,-1.5833981,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
6.781929,2.5900402,5,5,4,5,4,11,11,11,11,4,3,3,3,2,2,2,2,2,0
4.6936326,5.544758,9,8,10,10,11,12,12,12,2,2,2,2,2,3,3,3,3,0,0
4.7643843,5.343452,9,8,10,10,11,12,12,12,2,2,2,2,2,3,3,3,3,0,0
6.5785522,-2.0394156,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,2,2,2,0
6.8903913,-2.9585278,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
6.600523,-2.0087178,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
13.976476,4.9249315,17,17,17,16,15,14,2,1,1,1,1,1,1,1,1,1,1,1,1
13.293574,-1.729176,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
9.738261,-2.3510866,14,14,15,14,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
